FECHA_INSCRIPCION,FECHA_NACIMIENTO,GENERO,DESCRIPCION_SUBTIPO
12AUG2022:12:01:26,31MAY2015:00:00:00,Masculino,Adopción Plena
12AUG2022:12:22:03,18DEC1990:00:00:00,Femenino,Adopción Plena
16AUG2022:12:42:26,06NOV2002:00:00:00,Femenino,Adopción Plena
12JUL2022:14:22:49,24NOV2001:00:00:00,Femenino,Adopción Plena
12JUL2022:14:08:12,27DEC2003:00:00:00,Masculino,Adopción Plena
12JUL2022:14:13:00,26JUL2006:00:00:00,Masculino,Adopción Plena
13SEP2022:15:22:42,30APR2017:00:00:00,Masculino,Adopción Plena
16SEP2022:11:51:41,26AUG1990:00:00:00,Masculino,Adopción Simple
19SEP2022:12:01:12,27OCT2015:00:00:00,Masculino,Adopción Plena
12SEP2022:16:52:29,02DEC1974:00:00:00,Femenino,Adopción Plena
11MAR2022:13:26:07,09AUG2014:00:00:00,Masculino,Adopción Plena
17MAR2022:10:47:39,10MAY2009:00:00:00,Femenino,Adopción Plena
17MAR2022:10:58:37,27AUG2012:00:00:00,Femenino,Adopción Plena
15MAR2022:14:30:26,02FEB2018:00:00:00,Femenino,Adopción Plena
09MAY2022:10:50:35,23NOV2012:00:00:00,Masculino,Adopción Plena
06JUN2022:09:46:08,28MAY2020:00:00:00,Femenino,Adopción Plena
03MAR2022:09:40:56,10JUN2011:00:00:00,Masculino,Adopción Plena
21APR2022:10:10:53,13JUL2020:00:00:00,Femenino,Adopción Plena
06APR2022:17:02:32,13OCT2007:00:00:00,Femenino,Adopción Plena
28MAR2022:09:55:39,28APR2014:00:00:00,Masculino,Adopción Plena
28JUN2022:14:48:42,02JUN2014:00:00:00,Masculino,Adopción Plena
10MAY2022:13:42:03,18JUN2010:00:00:00,Femenino,Adopción Plena
08MAR2022:07:49:20,26FEB1968:00:00:00,Masculino,Adopción Plena
20JUL2022:11:55:31,26JAN2002:00:00:00,Femenino,Adopción Plena
18APR2022:14:35:35,03NOV2018:00:00:00,Femenino,Adopción Plena
06JUN2022:13:46:37,18OCT2009:00:00:00,Masculino,Adopción Plena
21APR2022:14:12:36,03MAR1997:00:00:00,Femenino,Adopción Simple
23MAR2022:14:12:25,30OCT2017:00:00:00,Femenino,Adopción Plena
18AUG2022:15:48:58,08DEC2004:00:00:00,Masculino,Adopción Simple
19OCT2022:12:32:15,07SEP2004:00:00:00,Masculino,Adopción Plena
10JUN2022:12:39:49,20FEB2005:00:00:00,Masculino,Adopción Plena
14JUN2022:11:09:43,05FEB1989:00:00:00,Femenino,Adopción Plena
24MAY2022:11:02:57,09MAR2006:00:00:00,Masculino,Adopción Simple
06JUN2022:13:33:13,25OCT2006:00:00:00,Masculino,Adopción Plena
26MAY2022:16:26:48,23FEB2011:00:00:00,Femenino,Adopción Plena
08JUN2022:08:49:49,18JAN2011:00:00:00,Femenino,Adopción Plena
27MAY2022:17:31:05,26SEP2006:00:00:00,Femenino,Adopción Plena
11APR2022:17:34:05,17MAR2005:00:00:00,Femenino,Adopción Plena
20MAY2022:15:20:36,02JUN2009:00:00:00,Femenino,Adopción Plena
